,Text,Intent
281,is my dinner reservation for gusto handcrafted pasta & pizza at 6:30 pm still valid,oos
282,please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,oos
283,please immediately block my navy federal credit union account,oos
284,i need a block placed right away on my joint checking account,oos
285,i want a block placed on my college fund account immediately,oos
286,can you please freeze my account,oos
287,could my 401k be rolled over,oos
288,can the 401k i have be rolled over,oos
289,how should i rollover my 401k,oos
290,"i'm at a new job and i need to do a 401k rollover, how do i do this",oos
291,how do i rollover my 401k,oos
292,rollover my 401k assistance,oos
293,who is your designer,oos
294,what company is responsible for your design,oos
295,what is the company that made you,oos
296,who is your manufacturer,oos
297,what manufactures you,oos
298,who brought you into existence,oos
299,who conjured you,oos
300,whats the travel time to redmond right now,oos
301,how long is the drive to the closest gas station,oos
302,how much time to drive to the closest bank,oos
303,can you tell me the drive time to the nearest gas station,oos
304,i need to know how long it will take me to get to the bank,oos
305,how long would it take to get to chicago by bus,oos
306,how long to seattle on a bus,oos
307,how long is it to ann arbor by bus,oos
308,"if going to lake placid, ny, how long would it be by bus",oos
309,what is the average time it takes to get to target in los angeles,oos
310,is joey my name,oos
311,tell me my name the way its saved,oos
312,tell me what my name is,oos
313,which way do you have my name saved,oos
314,how does my name appear,oos
315,how is my name saved aw,oos
316,how do you show my name,oos
317,what is the name you would use for me,oos
318,what name is saved for me,oos
319,what timezone do ho chi minh use,oos
320,what timezone is honolulu in,oos
321,what are the time zones of russia,oos
322,tell me the timezone for hong kong,oos
323,british columbia can be found in what timezone,oos
324,in what timezone is atlanta located,oos
325,give me the timezone where vancouver is,oos
326,what's the timezone over there,oos
327,would you play the next song,oos
328,i don't want to hear this song; skip it,oos
329,i want the next song played,oos
330,needing you to play the next song,oos
331,show all purchases of video games,oos
332,show me all video games purchased,oos
333,show me all new transactions,oos
334,how much money have i spent on restaurants,oos
335,what are my recent purchases,oos
336,please tell me all the purchases on my hy-vee card for this statement period,oos
337,show me all transactions for current statement,oos
338,what transactions do i have on my visa from the last 4 weeks,oos
339,what withdrawals were there on my account yesterday,oos
340,where is your favorite restaurant to eat,oos
341,list a few pizza places that have seating near my current location,oos
342,are there decent seafood restaurants in portland,oos
343,suggest a few local eateries in mid price range,oos
344,what are some good itialian restaurants in north salem,oos
345,what are some good southern bbq restaurants in nashville,oos
346,for my visa what's my reward balance,oos
347,what is my kohls card's rewards balance,oos
348,how do i check my rewards for my chase card,oos
349,how many points have i earned with my amex card,oos
350,how many points have i earned with my chase card,oos
351,pay a bill!,oos
352,i want to pay a bill,oos
353,pay my monthy mortgage payment,oos
354,make a quarterly payment on my life insurance premium,oos
355,i need to pay my time warner cable bill,oos
356,i want to pay my cable bill directly from my checking account,oos
357,how much did i spend on bills last month,oos
358,was i spending too much money on doughnuts last week,oos
359,tell me how much i have spent on grocery shopping just now,oos
360,how much have i spent on eating out recently,oos
361,how much have i spent on make up recently,oos
362,will i be permitted to take my vacation,oos
363,has my vacation been okayed yet,oos
364,did my vacation get approved yet,oos
365,what's the status of my medical leave,oos
366,when will my vacation get okayed,oos
367,look up the status of my time off request,oos
368,i would really like to know if i can go on vacation,oos
369,i was wondering about the vacation time you said you'll approve,oos
370,can you tell me whether or not you approved my vacation time,oos
371,has my request for vacation time been approved,oos
372,please lookup my experion credit score,oos
373,look up my fico credit score,oos
374,who tracks my credit score,oos
375,how bad is my current credit score,oos
376,is my credit good enough to get a new card,oos
377,how high is my credit score,oos
378,who has the best credit card offering for a college student,oos
379,can i apply for a paypal master card,oos
380,how does one apply for a master card,oos
381,assist me in getting a new credit card,oos
382,i think i lost my luggage,oos
383,what do i do if my luggage is lost,oos
384,i think my luggage is stolen,oos
385,can you repeat what you said,oos
386,what did you just ask,oos
387,can you ask me that again,oos
388,what question did you just ask me,oos
389,what,oos
390,repeat that once more,oos
391,"i'm sorry, i didn't understand what you said",oos
392,what did you ask again,oos
393,what was that question again,oos
394,how well is the gas mileage while i'm in the city,oos
395,what kind of gas mileage does this car get when going through a city,oos
396,how's my gas mileage while driving through a city,oos
397,what is the gas mileage on a ford falcon,oos
398,i need to know this car's mpg,oos
399,i would like to know the mpg for this car,oos
400,tell me the mpg of my vehicle,oos
401,what is the schedule for my next oil change,oos
402,when do i need to change my oil next,oos
403,when do i need to change my motor oil next,oos
404,how long until my oil needs to be changed,oos
405,at the point when should i get my oil changed straightaway,oos
406,"yes, that is true for sure",oos
407,i know that is true,oos
408,"true, most definitely",oos
409,facts,oos
410,accepted,oos
411,approved,oos
412,this is a true statement,oos
413,i'm telling you this is a true statement,oos
414,what's the best place to visit in arizona,oos
415,what is there to do in craberra,oos
416,i want to know about tourist places for bangkok,oos
417,i want to know where to visit in bangkok,oos
418,what are some exciting things that are a must do for tourists visiting sedona,oos
419,"can you give me some fun suggestions for tourists to check out in las vegas, please",oos
420,what can i do in hong kong,oos
421,what kind of insurance do i have,oos
422,what insurance do i have,oos
423,what is the name of the insurance plan i am enrolled in,oos
424,i am enrolled in what insurance plan,oos
425,"i enrolled in an insurance plan, what one was it",oos
426,which was my insurance plan again,oos
427,my insurance plan is what,oos
428,what are my health benefits like,oos
429,remove my todo list,oos
430,put laundry on my chore list,oos
431,put laundry on my list of things to do,oos
432,erase the items on my to do list,oos
433,please delete the items on my to do list,oos
434,"remind me to wash the dog, put on list of things to do",oos
435,please put wash the dog on my list of things to do,oos
436,list the things i wanted to remember,oos
437,what were those things i wanted to remember,oos
438,what things did i not want to forget,oos
439,what is it i wanted to bear in mind,oos
440,tell me my reminder list,oos
441,can you slow down your rate of speech,oos
442,please speak to me quicker from now on,oos
443,speed up your rate of speech,oos
444,would you talk a bit faster instead,oos
445,could you speak faster,oos
446,do my tires have enough air in them,oos
447,what is the car's tire pressure,oos
448,how is the car's tire pressure,oos
449,what is my tire pressure,oos
450,do my car tires have enough psi in them,oos
451,ill pass,oos
452,"no, that is invalid",oos
453,i would prefer not,oos
454,thats a negative,oos
455,i meant no,oos
456,"no, that is not correct",oos
457,invalid,oos
458,"no, that's not it",oos
459,has the apr on my card changed and what is it now,oos
460,how does my card's apr compare to others,oos
461,is my card's apr good,oos
462,can you tell me how good my card's apr is,oos
463,what is my card's apr and is it good,oos
464,what is a good apr,oos
465,is chocolate good for you,oos
466,what is the nutritional info for kraft mac 'n' cheese,oos
467,are french fries health or not,oos
468,pull up the nutrional info of a 12 oz coke,oos
469,can you check what is on my calendar for tuesday,oos
470,what is the date of my next scheduled dentist appointment,oos
471,what do i have going on for 12/03/2019,oos
472,where do i have to be on 12/03/2019,oos
473,do i have plans on 12/03/2019,oos
474,does my calendar show anything for thursday the 14th,oos
475,what appointments do i have on thursday the 14th,oos
476,is my day open for march 4th 2019,oos
477,is anything happening on march 4th 2019,oos
478,"check my calendar for march 4th 2019, please",oos
479,can you find me an uber and have it here at 7pm,oos
480,"call me an uber please, and make it for four people to go downtown",oos
481,i need an uber to come to my work at 5pm for three people going to the cineplex downtown,oos
482,please call an uber for me,oos
483,uber ride available from here to downtown,oos
484,look up uber to downtown,oos
485,find me an uber to downtown,oos
486,help me solve this math equation,oos
487,can you multiply 45 by 23,oos
488,can you subract 36 from 5,oos
489,multiply 7 and 42,oos
490,what is 87 divided by 4,oos
491,what is 89 divided by 3,oos
492,what is seventeen plus three,oos
493,what is the derivative of x squared plus 5,oos
494,i need to know the date it will be 4 days from now,oos
495,let me know what today's date is,oos
496,what date will it be 8 days from now,oos
497,what date will it be 6 days from now,oos
498,what date will it be 7 days from now,oos
499,can i take more than one carry on,oos
500,whats the policy for delta for carry ons,oos
501,what's the carry on policy for delta,oos
502,can you tell me delta's carry on policy,oos
503,i would like to know delta's carry on policy,oos
504,what are united's carry-on rules,oos
505,tell me carry-on info for united,oos
506,can you give me the carry-on rules for american airlines,oos
507,how many days off have i used,oos
508,how much pto have i used so far,oos
509,can you tell me how much pto have i use,oos
510,how much vacation days have i used,oos
511,my day offs history,oos
512,remind me of how days i had off so far for the year,oos
513,i'd like an appointment at your earliest availability for an oil change,oos
514,can i make an appointment for an oil change,oos
515,schedule me an appointment to get my tires checked out,oos
516,is there any way to change the date of my oil change,oos
517,i need to get an appointment for car maintenance,oos
518,get a message to my bank that starting the 14th i'll be in canada,oos
519,alert my financial institution that i will be traveling to bangkok on april 2 and returning on april 7,oos
520,"on tuesday i will be leaving for tennessee and will not be returning until the twenty ninth, alert my bank of this",oos
521,my bank needs to be aware of my trip to spain,oos
522,i will tell my bank that i will be gone from april to may to america,oos
523,let my bank know that i am going to tokyo,oos
524,alert my bank and tell them that i will be in vermont,oos
525,sync phone,oos
526,don't sync with my phone,oos
527,pair with phone,oos
528,connect with my phone,oos
529,please add onto my phone,oos
530,put a device with my phone,oos
531,that you so much for the help,oos
532,thanks for your help,oos
533,appreciated,oos
534,"thanks, i appreciate it",oos
535,you have my gratitude,oos
536,special thanks to you,oos
537,please roll a 10 sided die and tell me what number it is,oos
538,please roll a dice,oos
539,roll an 8 sided dice,oos
540,roll a 6 sided dice,oos
541,please roll this 8 sided dice,oos
542,complete a roll on a 4 sided dice,oos
543,roll that dice,oos
544,please roll that dice,oos
545,"i need to make a quick decision, so roll a dice!",oos
546,is cooked chicken still good after being refrigerated for two weeks,oos
547,is rice ok after 3 days in the refrigerator,oos
548,is rice bad after 3 days in fridge,oos
549,how do i know if my milk is expired,oos
550,how long until my milk expires,oos
551,how long can i keep pork in the freezer for before it gets freezer burnt,oos
552,how long do i need to cook lasagne for,oos
553,how long do i need to cook beef stew for,oos
554,how long should i cook roast for,oos
555,i need to know how long to cook chicken for,oos
556,how long do i put sugar cookies in for,oos
557,how long should i cook carnitas for,oos
558,how long does it take to make pho,oos
559,how long should i microwave hot pockets for,oos
560,how long does it take to cook hot pockets,oos
561,i need a reminder to order cookies,oos
562,you need to remind me to do something,oos
563,can you set a reminder for me,oos
564,create a reminder,oos
565,i just put steaks on the grill remind me to check them at the right time,oos
566,don't let me forget to check the steak,oos
567,can i have a reminder set up,oos
568,i want to report a stolen card,oos
569,i need to report a stolen card,oos
570,if i lost my card how do i report it,oos
571,what is the process of reporting a lost card,oos
572,"i lost my card, how do i report it",oos
573,report a card lost for me,oos
574,what are the steps to take to report a lost card,oos
575,what is the route to take to report a lost card,oos
576,can you show me how to report a lost card,oos
577,let me know if i can use ketchup in place of the mustard,oos
578,is it ok to use ketchup instead of mustard,oos
579,is it allow to switch apples to grapes,oos
580,i don't have butter can i use oil,oos
581,are butter and oil interchangable,oos
582,are you able to switch butter and oil,oos
583,will pepper work instead of salt,oos
584,call alex,oos
585,i want to call mark,oos
586,please initiate a phone call to my boss,oos
587,dial the last number that called me,oos
588,call contact aj,oos
589,call aj,oos
590,call my friend aj,oos
591,set my alarm for six tomorrow morning,oos
592,please set an alarm for me,oos
593,create alarms for 8 pm and 9 pm,oos
594,set an alarm for 05:00 and one for 16:00,oos
595,what do i need to do,oos
596,did i put cutting the grass on my todo list,oos
597,did i put a car wash on my todo list,oos
598,did i put vacuuming on my todo's,oos
599,does my todo list have vacuuming on it,oos
600,is cleaning the garage on my to do list,oos
601,will you please do the male british accent,oos
602,can you please change you accent to the male british one,oos
603,i need your accent to be changed,oos
604,change your accent now,oos
605,change to a new accent please,oos
606,please use a male voice,oos
607,who do i contact for a w2 form,oos
608,who should i call for a w2,oos
609,so where do i get the w2 form,oos
610,where do i find my w-2 form,oos
611,where do i find my w-2 tax form,oos
612,where would i find my w-2,oos
613,when do i need to pay my dte energy bill,oos
614,what day is my telephone bill due,oos
615,when is my cell phone bill due,oos
616,what day do i need to pay my internet and phone bill by,oos
617,what's the due date for spectrum's bill,oos
618,what date do i have to pay the phone bill on,oos
619,when is the electric bill due,oos
620,how do i find out when my visa bill is due,oos
621,tell me how i know when to pay my chase bill,oos
622,tell me when my mastercard bill should be paid,oos
623,how long do i have to pay that bill,oos
624,what is the calorie content of lays chips,oos
625,do you know the calorie content of a strip of bacon,oos
626,how many calories are found in bagels,oos
627,tell me the calorie content of frosted flakes,oos
628,how many calories are in oreos,oos
629,how many calories does two bananas have,oos
630,how many calories are in a bowel of wheaties,oos
631,my card is scuffed up and won't work,oos
632,my card seems to not work because its blemished,oos
633,i broke my card trying to do a magic trick,oos
634,i broke my card scraping snow off the windshield,oos
635,i ruined my card when it got washed,oos
636,my card got dropped in the shredded and i need it replaced,oos
637,how is sushi at jiro,oos
638,how is the steamed fish at harbor village,oos
639,can you inform if boston restaurant has good reviews,oos
640,tell me if boston restaurant has good reviews,oos
641,help me find the chase routing number,oos
642,what would wells fargo use as routing,oos
643,let me know chase's routing number,oos
644,what routing number does chase use,oos
645,is there a routing number for wells fargo,oos
646,i need to know bank of america's routing,oos
647,where do i find my routing number for my pnc account,oos
648,what type of pet is in your home,oos
649,do you have any animals,oos
650,what type of animal is living in your home,oos
651,what animals await you at home,oos
652,do you posses any types of pets,oos
653,what are the pets you have,oos
654,do you own a cat or do you own a dog,oos
655,what do you have in the way of pets,oos
656,schedule a monday meeting with sam at 1 pm,oos
657,schedule my meeting with jim at 3pm,oos
658,get me a meeting room for 9am on friday,oos
659,secure us a meeting room for 9am on friday,oos
660,please schedule a meeting room for 9am on friday,oos
661,is it possible for you to schedule a meeting for 3:00 on wednesday,oos
662,can you create a meeting for 3:00 on wednesday,oos
663,gas type needed for this car,oos
664,can you tell me what kind of gas this car uses,oos
665,what is the proper fuel type for my car,oos
666,could you tell me the fuel type for my car,oos
667,what octaine is recommended for this car,oos
668,i need gas so what should i get,oos
669,what type of outlets do they have in the uk,oos
670,in australia what outlet type do they use,oos
671,do they use a different plug in brazil,oos
672,what electrical plug do they use in the uk,oos
673,what sort of electrical plug do they use in mainland europe,oos
674,what are the cuban plugs like,oos
675,what plugs are in england,oos
676,which plugs does england use,oos
677,can you tell me when i ought to switch out my tires,oos
678,when will my car next be due to get its tires changed,oos
679,at what point will i need to change my tires,oos
680,how long before i need to replace my tires,oos
681,figure out for me when i ought to change my tires next,oos
682,when can i commute my tires next,oos
683,what's the exchange rate between country a and country b,oos
684,what's the conversion rate of 100 dollars to euros,oos
685,how much is the exchange between usd and euros,oos
686,i need to know how much 100 dollars is worth in euros,oos
687,what's the difference between usd and cad,oos
688,how much is usd vs cad,oos
689,what day is the next holiday,oos
690,which holiday do we celebrate next,oos
691,what and when is the next holiday,oos
692,is there a holiday this month,oos
693,when will be the next holiday here,oos
694,i need to know when is the next holiday here,oos
695,i would like to know when is the next holiday here,oos
696,could you please raise your volume,oos
697,a volume of 4 is ideal please,oos
698,i need your volume increased,oos
699,please turn your volume up,oos
700,turn down your volume please,oos
701,"who is your supervisor, please",oos
702,"who are you employed by, please",oos
703,"who you work for, please",oos
704,do you work for another individual,oos
705,who is your supervisor,oos
706,do you work for a different individual,oos
707,do you work for a different employer,oos
708,who is your boss by the way,oos
709,i want the name of your boss,oos
710,tell me who your boss is,oos
711,could you tell me the limit on my chase credit card,oos
712,i need to know what my limit is on my american express card,oos
713,i have to know the credit limit,oos
714,what exactly is my credit limit,oos
715,how much spending power is on my discover card,oos
716,how much can i spend on my discover card,oos
717,i would like to know the limit for my credit,oos
718,how much to wait before dining in the jack in the box at 4 pm,oos
719,what is the wait time for torris,oos
720,how long is the wait at buffalo wild wings,oos
721,how long is the wait at chipotle tonight,oos
722,i need to know about how much time i'd have to wait to get a table at dibruno's,oos
723,what's the wait like at chima brazilian steakhouse at this time,oos
724,will i have to wait long for a table at pietro's this evening,oos
725,how long would the wait at the restaurant be,oos
726,what is the reservation policy for spago in beverly hills,oos
727,can i make reservations at spago in beverly hills,oos
728,can i make reservations at grub burger,oos
729,does the bellagio have any reservations,oos
730,"i need to make a reservation to long horn's, can i",oos
731,did my order get here yet,oos
732,did my order get delivered,oos
733,is my order here,oos
734,when will my order arrive,oos
735,i need my pin number for my bank of america account and i can't remember it,oos
736,i've forgotten my pin number for my citibank gold account,oos
737,i don't want my current pin for my wells account anymore,oos
738,switch the pin on my chase account,oos
739,i want a new pin on my card of private client account,oos
740,so tell me the pin number,oos
741,i need to know the pin number to my card,oos
742,tell me the pin number to my card,oos
743,i need to know the pin number,oos
744,switch the pin on my visa account,oos
745,"this was fun, see you around bye",oos
746,this was a nice chat,oos
747,"this was a nice chat, goodbye",oos
748,this was a nice conversation,oos
749,"it was lovely to speak with you, bye bye",oos
750,"thank you for chatting with me, bye",oos
751,farewell,oos
752,goodnight,oos
753,my account appears to be blocked but i have no idea why that could be,oos
754,what are the possible reasons behind frozen bank account,oos
755,great western bank's login screen tells me i'm locked out but not why,oos
756,tell me why i get an error logging in to my bank account,oos
757,please tell me the reason for the hold on my bb&t account,oos
758,whats this song,oos
759,"cool song, what is it",oos
760,what music is this,oos
761,what’s the name of this song,oos
762,what is the name of the song playing right now,oos
763,what's the name of the song playing right now,oos
764,what song is playing right now,oos
765,does my new bank card have any international transaction fees,oos
766,i wanna know if my capital one credit card have international transaction fees,oos
767,will i be charged if i use my card in vietnam,oos
768,will i be charged if i use my card in japan,oos
769,will i get charged extra for using my card while in tulsa,oos
770,if i use my card in england will it cost me extra,oos
771,"on what day, month and year did i get new tires",oos
772,how long since my car was in the shop,oos
773,when was my last oil change,oos
774,what was the date of my last car service,oos
775,do you know when i last took my car to get checked,oos
776,when did the oil get changed,oos
777,how long since my oil had a refresh,oos
778,do i have any meetings on my calendar today,oos
779,do i have any meetings today between 9:30 and 10:30,oos
780,do i have any meetings today between 9 and 10:30,oos
781,do i have any meetings today between 9 and 10,oos
782,what time am i meeting with john,oos
783,what time is my meeting with fred scheduled for,oos
784,"what is my schedule like today, any meetings with dan",oos
785,is dan aware of any meetings with me today,oos
786,i need to know what ingredients are in a french baguette,oos
787,what are the ingredients used in chicken curry,oos
788,can you tell me what ingredients are needed for cinnamon buns,oos
789,please give me a list of the ingredients contained in chocolate cupcakes,oos
790,what do you i need to make pizza dough,oos
791,what kind of ingredients go into the chicken a la king,oos
792,what will i need to make lasagna,oos
793,"for pasta primavera, what ingredients will i use",oos
794,i need to report unauthorized activity on my card,oos
795,"looks like my card is being used by someone else, report it",oos
796,help! i'm a victim of credit card fraud!,oos
797,i want to report fraudulent activity on my mastercard,oos
798,i want to report fraudulent activity on my quicksilver card,oos
